station_identifier,date,observation_type,observation_value
SZ000006717,18640101,TMIN,-12.0
USC00053010,18640101,PRCP,0.0
ITE00100550,18640102,TMAX,0.8
ITE00100550,18640102,TMIN,-3.4
ITE00100550,18640102,PRCP,0.0
ASN00079028,18640102,PRCP,0.0
USC00064757,18640102,PRCP,0.0
SF000208660,18640102,PRCP,0.0
ASN00089000,18640102,PRCP,0.0
SWE00100003,18640102,PRCP,0.0
ASN00086071,18640102,TMAX,23.4
ASN00086071,18640102,TMIN,10.8
ASN00086071,18640102,PRCP,0.0
USP00CA0003,18640102,PRCP,2.8
USC00189674,18640102,PRCP,0.0
USC00144559,18640102,PRCP,0.0
USC00144559,18640102,SNOW,0.0
CA006158350,18640102,TMAX,-16.1
CA006158350,18640102,TMIN,-22.8
CA006158350,18640102,PRCP,0.0
CA006158350,18640102,SNOW,0.0
HRE00105189,18640102,PRCP,0.0
ASN00067054,18640102,PRCP,1.3
ASN00081003,18640102,PRCP,0.0
ASN00078037,18640102,PRCP,0.0
ASN00070037,18640102,PRCP,0.0
EIE00101859,18640102,TMAX,7.8
EIE00101859,18640102,TMIN,1.1
EIE00101859,18640102,PRCP,0.0
ASN00040214,18640102,PRCP,18.5
BE000006447,18640102,TMAX,-2.5
BE000006447,18640102,TMIN,-7.4
AGE00135039,18640102,TMAX,14.0
AGE00135039,18640102,TMIN,11.5
AGE00135039,18640102,PRCP,0.0
USC00047738,18640102,PRCP,0.0
ASN00026020,18640102,PRCP,0.0
NLM00006235,18640102,PRCP,0.0
GME00125218,18640102,TMAX,-7.1
GME00125218,18640102,TMIN,-9.9
GME00125218,18640102,PRCP,0.0
GME00125218,18640102,SNWD,5.0
NLE00100499,18640102,PRCP,0.0
EZE00100082,18640102,TMAX,-9.8
EZE00100082,18640102,TMIN,-16.3
EZE00100082,18640102,PRCP,0.0
ITE00100554,18640102,TMAX,-0.3
ITE00100554,18640102,TMIN,-5.6
ITE00100554,18640102,PRCP,0.0
USC00361920,18640102,PRCP,0.0
ASN00056002,18640102,PRCP,4.6
ASN00066062,18640102,TMAX,26.6
ASN00066062,18640102,TMIN,17.9
ASN00066062,18640102,PRCP,0.0
ASN00023000,18640102,PRCP,0.0
ASN00072001,18640102,PRCP,0.0
SW000010537,18640102,PRCP,0.0
AU000005901,18640102,TMAX,-7.0
AU000005901,18640102,TMIN,-12.1
GM000004204,18640102,TMAX,-6.3
GM000004204,18640102,TMIN,-8.9
GM000004204,18640102,PRCP,0.0
ASN00061055,18640102,PRCP,0.0
UK000047811,18640102,TMAX,4.2
UK000047811,18640102,TMIN,0.3
UK000047811,18640102,PRCP,0.0
HR000142360,18640102,PRCP,0.0
ASN00084016,18640102,PRCP,0.0
ITE00100553,18640102,PRCP,0.0
ITE00100552,18640102,PRCP,0.0
ITE00105250,18640102,PRCP,2.9
UK000056225,18640102,TMAX,-0.1
UK000056225,18640102,TMIN,-6.3
UK000056225,18640102,PRCP,0.0
ASN00026026,18640102,PRCP,0.0
ASN00089049,18640102,PRCP,0.0
SZ000006717,18640102,TMAX,-10.7
SZ000006717,18640102,TMIN,-21.4
USC00053010,18640102,PRCP,0.0
ITE00100550,18640103,TMAX,-2.8
ITE00100550,18640103,TMIN,-8.8
ITE00100550,18640103,PRCP,0.0
ASN00079028,18640103,PRCP,0.0
USC00064757,18640103,PRCP,0.0
SF000208660,18640103,PRCP,0.0
ASN00089000,18640103,PRCP,0.0
SWE00100003,18640103,PRCP,0.0
ASN00086071,18640103,TMAX,33.9
ASN00086071,18640103,TMIN,11.9
ASN00086071,18640103,PRCP,0.0
USP00CA0003,18640103,PRCP,0.0
USC00189674,18640103,PRCP,0.0
USC00144559,18640103,PRCP,0.0
USC00144559,18640103,SNOW,0.0
CA006158350,18640103,TMAX,-10.6
CA006158350,18640103,TMIN,-18.3
CA006158350,18640103,PRCP,0.0
CA006158350,18640103,SNOW,0.0
HRE00105189,18640103,PRCP,0.0
ASN00067054,18640103,PRCP,0.0
ASN00081003,18640103,PRCP,0.0
ASN00078037,18640103,PRCP,0.0
ASN00070037,18640103,PRCP,0.0
EIE00101859,18640103,TMAX,6.7
EIE00101859,18640103,TMIN,0.6
EIE00101859,18640103,PRCP,0.0
ASN00040214,18640103,PRCP,5.8
BE000006447,18640103,TMAX,-3.6
BE000006447,18640103,TMIN,-6.9
AGE00135039,18640103,PRCP,0.0
USC00047738,18640103,PRCP,0.0
ASN00026020,18640103,PRCP,0.0
NLM00006235,18640103,PRCP,0.0
GME00125218,18640103,TMAX,-7.1
GME00125218,18640103,TMIN,-13.4
GME00125218,18640103,PRCP,0.0
GME00125218,18640103,SNWD,5.0
NLE00100499,18640103,PRCP,0.0
EZE00100082,18640103,TMAX,-9.1
EZE00100082,18640103,TMIN,-12.9
EZE00100082,18640103,PRCP,0.0
ITE00100554,18640103,TMAX,-0.7
ITE00100554,18640103,TMIN,-6.4
ITE00100554,18640103,PRCP,0.0
USC00361920,18640103,PRCP,0.0
ASN00056002,18640103,PRCP,0.0
ASN00066062,18640103,TMAX,24.6
ASN00066062,18640103,TMIN,16.7
ASN00066062,18640103,PRCP,0.0
ASN00023000,18640103,PRCP,0.0
ASN00072001,18640103,PRCP,0.0
SW000010537,18640103,PRCP,0.0
AU000005901,18640103,TMAX,-7.5
AU000005901,18640103,TMIN,-11.3
GM000004204,18640103,TMAX,-6.6
GM000004204,18640103,TMIN,-11.6
GM000004204,18640103,PRCP,0.8
ASN00061055,18640103,PRCP,0.0
UK000047811,18640103,TMAX,4.1
UK000047811,18640103,TMIN,0.1
UK000047811,18640103,PRCP,0.0
HR000142360,18640103,PRCP,0.7
ASN00084016,18640103,PRCP,0.0
ITE00100553,18640103,PRCP,0.0
ITE00100552,18640103,PRCP,0.0
ITE00105250,18640103,PRCP,1.8
UK000056225,18640103,TMAX,-1.8
UK000056225,18640103,TMIN,-7.3
UK000056225,18640103,PRCP,0.0
ASN00026026,18640103,PRCP,0.0
ASN00089049,18640103,PRCP,0.0
SZ000006717,18640103,TMAX,-16.5
SZ000006717,18640103,TMIN,-23.8
USC00053010,18640103,PRCP,0.0
ITE00100550,18640104,TMAX,0.0
ITE00100550,18640104,TMIN,-7.1
ITE00100550,18640104,PRCP,3.5
ASN00079028,18640104,PRCP,0.0
USC00064757,18640104,PRCP,0.0
SF000208660,18640104,PRCP,0.0
ASN00089000,18640104,PRCP,0.0
SWE00100003,18640104,PRCP,0.0
ASN00086071,18640104,TMAX,22.1
ASN00086071,18640104,TMIN,17.2
ASN00086071,18640104,PRCP,0.0
USP00CA0003,18640104,PRCP,15.2
USC00189674,18640104,PRCP,0.0
USC00189674,18640104,SNOW,10.2
USC00144559,18640104,PRCP,0.0
USC00144559,18640104,SNOW,0.2
CA006158350,18640104,TMAX,-8.9
CA006158350,18640104,TMIN,-12.2
CA006158350,18640104,PRCP,5.1
CA006158350,18640104,SNOW,5.1
HRE00105189,18640104,PRCP,0.0
ASN00067054,18640104,PRCP,0.0
ASN00081003,18640104,PRCP,0.0
ASN00078037,18640104,PRCP,0.0
ASN00070037,18640104,PRCP,0.0
EIE00101859,18640104,TMAX,7.8
EIE00101859,18640104,TMIN,-1.7
EIE00101859,18640104,PRCP,0.0
ASN00040214,18640104,PRCP,0.0
BE000006447,18640104,TMAX,-6.1
BE000006447,18640104,TMIN,-10.8
AGE00135039,18640104,TMAX,9.0
AGE00135039,18640104,TMIN,6.0
AGE00135039,18640104,PRCP,0.0
USC00047738,18640104,PRCP,0.0
ASN00026020,18640104,PRCP,0.0
NLM00006235,18640104,PRCP,0.0
GME00125218,18640104,TMAX,-11.5
GME00125218,18640104,TMIN,-15.3
GME00125218,18640104,PRCP,0.0
GME00125218,18640104,SNWD,5.0
NLE00100499,18640104,PRCP,0.0
EZE00100082,18640104,TMAX,-9.2
EZE00100082,18640104,TMIN,-13.4
EZE00100082,18640104,PRCP,0.0
ITE00100554,18640104,TMAX,-0.9
ITE00100554,18640104,TMIN,-4.3
ITE00100554,18640104,PRCP,0.0
USC00361920,18640104,PRCP,0.0
ASN00056002,18640104,PRCP,0.0
ASN00066062,18640104,TMAX,34.3
ASN00066062,18640104,TMIN,17.8
ASN00066062,18640104,PRCP,0.0
ASN00023000,18640104,PRCP,0.0
ASN00072001,18640104,PRCP,0.0
SW000010537,18640104,PRCP,0.0
AU000005901,18640104,TMAX,-6.5
AU000005901,18640104,TMIN,-13.3
GM000004204,18640104,TMAX,-12.1
GM000004204,18640104,TMIN,-15.8
GM000004204,18640104,PRCP,0.6
ASN00061055,18640104,PRCP,0.3
UK000047811,18640104,TMAX,4.3
UK000047811,18640104,TMIN,-2.1
UK000047811,18640104,PRCP,0.0
HR000142360,18640104,PRCP,0.0
ASN00084016,18640104,PRCP,0.0
ITE00100553,18640104,PRCP,0.0
ITE00100552,18640104,PRCP,0.0
ITE00105250,18640104,PRCP,0.0
UK000056225,18640104,TMAX,-1.6
UK000056225,18640104,TMIN,-5.7
UK000056225,18640104,PRCP,0.0
ASN00026026,18640104,PRCP,0.0
ASN00089049,18640104,PRCP,0.0
SZ000006717,18640104,TMAX,-10.5
SZ000006717,18640104,TMIN,-13.8
USC00053010,18640104,PRCP,0.0
ITE00100550,18640105,TMAX,-1.9
ITE00100550,18640105,TMIN,-7.1
ITE00100550,18640105,PRCP,0.0
ASN00079028,18640105,PRCP,0.0
USC00064757,18640105,PRCP,0.0
USC00064757,18640105,SNOW,5.1
SF000208660,18640105,PRCP,0.0
ASN00089000,18640105,PRCP,0.0
SWE00100003,18640105,PRCP,0.0
ASN00086071,18640105,TMAX,21.9
ASN00086071,18640105,TMIN,13.1
ASN00086071,18640105,PRCP,1.0
USP00CA0003,18640105,PRCP,0.0
USC00189674,18640105,PRCP,0.0
USC00144559,18640105,PRCP,0.0
USC00144559,18640105,SNOW,0.0
CA006158350,18640105,TMAX,-6.7
CA006158350,18640105,TMIN,-12.2
CA006158350,18640105,PRCP,7.6
CA006158350,18640105,SNOW,7.6
HRE00105189,18640105,PRCP,0.0
ASN00067054,18640105,PRCP,2.3
ASN00081003,18640105,PRCP,0.3
ASN00078037,18640105,PRCP,0.0
ASN00070037,18640105,PRCP,0.0
EIE00101859,18640105,TMAX,1.1
EIE00101859,18640105,TMIN,-1.1
EIE00101859,18640105,PRCP,0.0
ASN00040214,18640105,PRCP,0.0
BE000006447,18640105,TMAX,-3.1
BE000006447,18640105,TMIN,-11.7
AGE00135039,18640105,TMAX,9.5
AGE00135039,18640105,TMIN,2.0
AGE00135039,18640105,PRCP,0.0
USC00047738,18640105,PRCP,0.5
ASN00026020,18640105,PRCP,0.0
NLM00006235,18640105,PRCP,0.0
GME00125218,18640105,TMAX,-9.6
GME00125218,18640105,TMIN,-15.3
GME00125218,18640105,PRCP,0.0
GME00125218,18640105,SNWD,5.0
NLE00100499,18640105,PRCP,0.0
EZE00100082,18640105,TMAX,-10.5
EZE00100082,18640105,TMIN,-16.0
EZE00100082,18640105,PRCP,0.0
ITE00100554,18640105,TMAX,-1.2
ITE00100554,18640105,TMIN,-8.6
ITE00100554,18640105,PRCP,0.0
USC00361920,18640105,PRCP,10.2
ASN00056002,18640105,PRCP,0.0
ASN00066062,18640105,TMAX,28.4
ASN00066062,18640105,TMIN,20.4
ASN00066062,18640105,PRCP,1.0
ASN00023000,18640105,PRCP,0.0
ASN00072001,18640105,PRCP,0.0
SW000010537,18640105,PRCP,0.0
AU000005901,18640105,TMAX,-6.5
AU000005901,18640105,TMIN,-12.8
GM000004204,18640105,TMAX,-12.5
GM000004204,18640105,TMIN,-20.4
GM000004204,18640105,PRCP,0.1
ASN00061055,18640105,PRCP,1.0
UK000047811,18640105,TMAX,2.4
UK000047811,18640105,TMIN,-4.4
UK000047811,18640105,PRCP,0.0
HR000142360,18640105,PRCP,0.0
ASN00084016,18640105,PRCP,0.0
ITE00100553,18640105,PRCP,0.0
ITE00100552,18640105,PRCP,0.0
ITE00105250,18640105,PRCP,3.4
UK000056225,18640105,TMAX,-3.8
UK000056225,18640105,TMIN,-10.4
UK000056225,18640105,PRCP,0.0
ASN00026026,18640105,PRCP,0.0
ASN00089049,18640105,PRCP,0.0
SZ000006717,18640105,TMAX,-11.1
SZ000006717,18640105,TMIN,-15.6
USC00053010,18640105,PRCP,0.0
ITE00100550,18640106,TMAX,-1.3
ITE00100550,18640106,TMIN,-6.5
ITE00100550,18640106,PRCP,0.0
ASN00079028,18640106,PRCP,0.0
USC00064757,18640106,PRCP,3.3
SF000208660,18640106,PRCP,0.0
ASN00089000,18640106,PRCP,0.0
SWE00100003,18640106,PRCP,0.0
ASN00086071,18640106,TMAX,18.8
ASN00086071,18640106,TMIN,10.9
ASN00086071,18640106,PRCP,0.0
USP00CA0003,18640106,PRCP,0.0
USC00189674,18640106,PRCP,0.0
USC00144559,18640106,PRCP,0.0
USC00144559,18640106,SNOW,0.0
CA006158350,18640106,TMAX,-8.9
CA006158350,18640106,TMIN,-11.1
CA006158350,18640106,PRCP,0.0
CA006158350,18640106,SNOW,0.0
HRE00105189,18640106,PRCP,0.0
ASN00067054,18640106,PRCP,7.4
ASN00081003,18640106,PRCP,1.0
ASN00078037,18640106,PRCP,0.0
ASN00070037,18640106,PRCP,7.6
EIE00101859,18640106,TMAX,1.7
EIE00101859,18640106,TMIN,-0.6
EIE00101859,18640106,PRCP,0.0
ASN00040214,18640106,PRCP,1.0
BE000006447,18640106,TMAX,-2.2
BE000006447,18640106,TMIN,-10.1
AGE00135039,18640106,TMAX,11.5
AGE00135039,18640106,TMIN,6.0
AGE00135039,18640106,PRCP,0.0
USC00047738,18640106,PRCP,0.0
ASN00026020,18640106,PRCP,0.0
NLM00006235,18640106,PRCP,0.0
GME00125218,18640106,TMAX,-7.6
GME00125218,18640106,TMIN,-15.3
GME00125218,18640106,PRCP,0.0
GME00125218,18640106,SNWD,5.0
NLE00100499,18640106,PRCP,0.0
EZE00100082,18640106,TMAX,-9.1
EZE00100082,18640106,TMIN,-14.6
EZE00100082,18640106,PRCP,0.0
ITE00100554,18640106,TMAX,-1.2
ITE00100554,18640106,TMIN,-8.7
ITE00100554,18640106,PRCP,0.0
USC00361920,18640106,PRCP,0.0
ASN00056002,18640106,PRCP,0.0
ASN00066062,18640106,TMAX,23.9
ASN00066062,18640106,TMIN,19.1
ASN00066062,18640106,PRCP,5.3
ASN00023000,18640106,PRCP,0.0
ASN00072001,18640106,PRCP,0.0
SW000010537,18640106,PRCP,0.0
AU000005901,18640106,TMAX,-4.3
AU000005901,18640106,TMIN,-11.5
GM000004204,18640106,TMAX,-10.3
GM000004204,18640106,TMIN,-17.0
GM000004204,18640106,PRCP,0.0
ASN00061055,18640106,PRCP,0.0
UK000047811,18640106,TMAX,0.2
UK000047811,18640106,TMIN,-6.2
UK000047811,18640106,PRCP,0.0
HR000142360,18640106,PRCP,0.0
ASN00084016,18640106,PRCP,12.2
ITE00100553,18640106,PRCP,0.0
ITE00100552,18640106,PRCP,0.0
ITE00105250,18640106,PRCP,0.0
UK000056225,18640106,TMAX,-2.0
UK000056225,18640106,TMIN,-10.7
UK000056225,18640106,PRCP,0.0
ASN00026026,18640106,PRCP,0.0
ASN00089049,18640106,PRCP,0.0
SZ000006717,18640106,TMAX,-7.6
SZ000006717,18640106,TMIN,-10.8
USC00053010,18640106,PRCP,0.0
ITE00100550,18640107,TMAX,-0.4
ITE00100550,18640107,TMIN,-5.6
ITE00100550,18640107,PRCP,0.0
ASN00079028,18640107,PRCP,0.0
USC00064757,18640107,PRCP,0.0
SF000208660,18640107,PRCP,0.0
ASN00089000,18640107,PRCP,0.0
SWE00100003,18640107,PRCP,0.0
ASN00086071,18640107,TMAX,24.3
ASN00086071,18640107,TMIN,9.4
ASN00086071,18640107,PRCP,0.0
USP00CA0003,18640107,PRCP,0.0
USC00189674,18640107,PRCP,0.0
USC00144559,18640107,PRCP,0.0
USC00144559,18640107,SNOW,0.0
CA006158350,18640107,TMAX,-8.3
CA006158350,18640107,TMIN,-16.7
CA006158350,18640107,PRCP,0.0
CA006158350,18640107,SNOW,0.0
HRE00105189,18640107,PRCP,0.0
ASN00067054,18640107,PRCP,3.3
ASN00081003,18640107,PRCP,0.0
ASN00078037,18640107,PRCP,0.0
ASN00070037,18640107,PRCP,0.0
EIE00101859,18640107,TMAX,3.3
EIE00101859,18640107,TMIN,-2.2
EIE00101859,18640107,PRCP,0.0
ASN00040214,18640107,PRCP,1.3
BE000006447,18640107,TMAX,-2.7
BE000006447,18640107,TMIN,-9.7
AGE00135039,18640107,TMAX,12.5
AGE00135039,18640107,TMIN,8.5
AGE00135039,18640107,PRCP,0.0
USC00047738,18640107,PRCP,0.0
USC00047738,18640107,WT01,0.1
ASN00026020,18640107,PRCP,0.0
NLM00006235,18640107,PRCP,0.0
GME00125218,18640107,TMAX,-6.5
GME00125218,18640107,TMIN,-11.3
GME00125218,18640107,PRCP,0.0
GME00125218,18640107,SNWD,5.0
NLE00100499,18640107,PRCP,0.0
EZE00100082,18640107,TMAX,-10.5
EZE00100082,18640107,TMIN,-15.7
EZE00100082,18640107,PRCP,0.0
ITE00100554,18640107,TMAX,-0.2
ITE00100554,18640107,TMIN,-5.8
ITE00100554,18640107,PRCP,0.0
USC00361920,18640107,PRCP,0.0
ASN00056002,18640107,PRCP,8.6
ASN00066062,18640107,TMAX,22.2
ASN00066062,18640107,TMIN,16.7
ASN00066062,18640107,PRCP,3.3
ASN00023000,18640107,PRCP,0.0
ASN00072001,18640107,PRCP,0.0
SW000010537,18640107,PRCP,0.0
AU000005901,18640107,TMAX,-4.8
AU000005901,18640107,TMIN,-11.4
GM000004204,18640107,TMAX,-8.3
GM000004204,18640107,TMIN,-14.8
GM000004204,18640107,PRCP,0.0
ASN00061055,18640107,PRCP,7.6
UK000047811,18640107,TMAX,0.3
UK000047811,18640107,TMIN,-7.7
UK000047811,18640107,PRCP,0.0
HR000142360,18640107,PRCP,0.0
ASN00084016,18640107,PRCP,0.0
ITE00100553,18640107,PRCP,0.0
ITE00100552,18640107,PRCP,0.0
ITE00105250,18640107,PRCP,0.0
UK000056225,18640107,TMAX,0.2
UK000056225,18640107,TMIN,-6.6
UK000056225,18640107,PRCP,0.0
ASN00026026,18640107,PRCP,0.0
ASN00089049,18640107,PRCP,0.0
SZ000006717,18640107,TMAX,-8.5
SZ000006717,18640107,TMIN,-12.7
USC00053010,18640107,PRCP,0.0
ITE00100550,18640108,TMAX,1.3
ITE00100550,18640108,TMIN,-4.0
ITE00100550,18640108,PRCP,0.0
ASN00079028,18640108,PRCP,0.0
USC00064757,18640108,PRCP,0.0
USC00064757,18640108,SNOW,7.6
SF000208660,18640108,PRCP,0.0
ASN00089000,18640108,PRCP,0.0
SWE00100003,18640108,PRCP,0.0
ASN00086071,18640108,TMAX,35.9
ASN00086071,18640108,TMIN,11.3
ASN00086071,18640108,PRCP,0.0
USP00CA0003,18640108,PRCP,0.0
USC00189674,18640108,PRCP,0.0
USC00189674,18640108,SNOW,2.5
USC00144559,18640108,PRCP,0.0
USC00144559,18640108,SNOW,0.0
CA006158350,18640108,TMAX,-10.0
CA006158350,18640108,TMIN,-14.4
CA006158350,18640108,PRCP,0.0
CA006158350,18640108,SNOW,0.0
HRE00105189,18640108,PRCP,0.0
ASN00067054,18640108,PRCP,2.0
ASN00081003,18640108,PRCP,0.0
ASN00078037,18640108,PRCP,0.0
ASN00070037,18640108,PRCP,0.0
EIE00101859,18640108,TMAX,1.7
EIE00101859,18640108,TMIN,-1.1
EIE00101859,18640108,PRCP,0.0
ASN00040214,18640108,PRCP,0.0
BE000006447,18640108,TMAX,1.8
BE000006447,18640108,TMIN,-8.3
AGE00135039,18640108,TMAX,15.0
AGE00135039,18640108,TMIN,8.5
AGE00135039,18640108,PRCP,3.8
USC00047738,18640108,PRCP,0.0
USC00047738,18640108,WT01,0.1
ASN00026020,18640108,PRCP,0.0
NLM00006235,18640108,PRCP,0.0
GME00125218,18640108,TMAX,-4.3
GME00125218,18640108,TMIN,-12.4
GME00125218,18640108,PRCP,0.0
GME00125218,18640108,SNWD,5.0
NLE00100499,18640108,PRCP,0.0
EZE00100082,18640108,TMAX,-8.3
EZE00100082,18640108,TMIN,-13.7
EZE00100082,18640108,PRCP,0.0
ITE00100554,18640108,TMAX,1.0
ITE00100554,18640108,TMIN,-7.4
ITE00100554,18640108,PRCP,0.0
USC00361920,18640108,PRCP,7.6
ASN00056002,18640108,PRCP,0.0
ASN00066062,18640108,TMAX,23.3
ASN00066062,18640108,TMIN,17.2
ASN00066062,18640108,PRCP,1.5
ASN00023000,18640108,PRCP,0.0
ASN00072001,18640108,PRCP,0.0
SW000010537,18640108,PRCP,0.0
AU000005901,18640108,TMAX,-4.5
AU000005901,18640108,TMIN,-9.3
GM000004204,18640108,TMAX,-3.5
GM000004204,18640108,TMIN,-13.9
GM000004204,18640108,PRCP,0.1
ASN00061055,18640108,PRCP,19.1
UK000047811,18640108,TMAX,1.1
UK000047811,18640108,TMIN,-3.3
UK000047811,18640108,PRCP,0.0
HR000142360,18640108,PRCP,0.0
ASN00084016,18640108,PRCP,0.0
ITE00100553,18640108,PRCP,0.0
ITE00100552,18640108,PRCP,0.0
ITE00105250,18640108,PRCP,1.5
UK000056225,18640108,TMAX,4.4
UK000056225,18640108,TMIN,-7.4
UK000056225,18640108,PRCP,0.0
ASN00026026,18640108,PRCP,0.0
ASN00089049,18640108,PRCP,0.0
SZ000006717,18640108,TMAX,-9.6
SZ000006717,18640108,TMIN,-11.4
USC00053010,18640108,PRCP,0.0
ITE00100550,18640109,TMAX,1.3
ITE00100550,18640109,TMIN,-3.1
ITE00100550,18640109,PRCP,0.0
ASN00079028,18640109,PRCP,0.0
USC00064757,18640109,PRCP,3.6
SF000208660,18640109,PRCP,0.0
ASN00089000,18640109,PRCP,17.8
SWE00100003,18640109,PRCP,0.0
ASN00086071,18640109,TMAX,30.0
ASN00086071,18640109,TMIN,22.3
ASN00086071,18640109,PRCP,0.0
USP00CA0003,18640109,PRCP,0.0
USC00189674,18640109,PRCP,0.0
USC00144559,18640109,PRCP,0.0
USC00144559,18640109,SNOW,0.0
CA006158350,18640109,TMAX,-9.4
CA006158350,18640109,TMIN,-14.4
CA006158350,18640109,PRCP,0.0
CA006158350,18640109,SNOW,0.0
HRE00105189,18640109,PRCP,0.0
ASN00067054,18640109,PRCP,4.8
ASN00081003,18640109,PRCP,0.0
ASN00078037,18640109,PRCP,0.0
ASN00070037,18640109,PRCP,0.0
EIE00101859,18640109,TMAX,3.3
EIE00101859,18640109,TMIN,0.0
EIE00101859,18640109,PRCP,0.0
ASN00040214,18640109,PRCP,0.0
BE000006447,18640109,TMAX,3.5
BE000006447,18640109,TMIN,-3.0
AGE00135039,18640109,TMAX,14.5
AGE00135039,18640109,TMIN,12.0
AGE00135039,18640109,PRCP,4.0
USC00047738,18640109,PRCP,0.0
ASN00026020,18640109,PRCP,4.1
NLM00006235,18640109,PRCP,0.0
GME00125218,18640109,TMAX,-6.3
GME00125218,18640109,TMIN,-12.9
GME00125218,18640109,PRCP,0.0
GME00125218,18640109,SNWD,5.0
NLE00100499,18640109,PRCP,0.0
EZE00100082,18640109,TMAX,-6.5
EZE00100082,18640109,TMIN,-10.7
EZE00100082,18640109,PRCP,0.0
ITE00100554,18640109,TMAX,0.5
ITE00100554,18640109,TMIN,-7.1
ITE00100554,18640109,PRCP,0.0
USC00361920,18640109,PRCP,0.0
ASN00056002,18640109,PRCP,1.5
ASN00066062,18640109,TMAX,25.6
ASN00066062,18640109,TMIN,17.6
ASN00066062,18640109,PRCP,0.0
ASN00023000,18640109,PRCP,0.0
ASN00072001,18640109,PRCP,0.0
SW000010537,18640109,PRCP,0.0
AU000005901,18640109,TMAX,-8.5
AU000005901,18640109,TMIN,-10.6
GM000004204,18640109,TMAX,-6.6
GM000004204,18640109,TMIN,-15.0
GM000004204,18640109,PRCP,0.1
ASN00061055,18640109,PRCP,0.0
UK000047811,18640109,TMAX,5.8
UK000047811,18640109,TMIN,-2.4
UK000047811,18640109,PRCP,0.1
HR000142360,18640109,PRCP,0.0
ASN00084016,18640109,PRCP,0.0
ITE00100553,18640109,PRCP,0.0
ITE00100552,18640109,PRCP,0.0
ITE00105250,18640109,PRCP,0.0
UK000056225,18640109,TMAX,5.8
UK000056225,18640109,TMIN,-0.7
UK000056225,18640109,PRCP,1.3
ASN00026026,18640109,PRCP,0.0
ASN00089049,18640109,PRCP,0.0
SZ000006717,18640109,TMAX,-9.4
SZ000006717,18640109,TMIN,-12.1
USC00053010,18640109,PRCP,0.0
ITE00100550,18640110,TMAX,0.6
ITE00100550,18640110,TMIN,-6.0
ITE00100550,18640110,PRCP,0.0
ASN00079028,18640110,PRCP,0.0
USC00064757,18640110,PRCP,0.0
SF000208660,18640110,PRCP,0.8
ASN00089000,18640110,PRCP,0.0
SWE00100003,18640110,PRCP,0.0
